project_id,project_name,sector,implementing_agency,approved_cost_cr,planned_commissioning_date,reported_completion_expenditure_cr,completion_date,financial_year,source_url
260100064,"CDMA WLL EQUIPMENT (MTNL, MUMBAI)-1(MAHANAGAR",Not Reported,MAHANAGAR                         128.30      02/2004                76.30 TELEPHONE NIGAM LIMITED,128.3,2004-02-01,76.3,2008-12-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
260100065,"CDMA WLL EQUIPMENT (MTNL, MUMBAI)-2(MAHANAGAR",Not Reported,MAHANAGAR                         362.26      12/2004                60.37 TELEPHONE NIGAM LIMITED,362.26,2004-12-01,60.37,2008-12-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
260100078,CDMA 2000 WLL (MTNL)(MAHANAGAR TELEPHONE NIGAM,Not Reported,MAHANAGAR TELEPHONE NIGAM                        460.28      10/2004                84.79 LIMITED,460.28,2004-10-01,84.79,2008-12-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
260100079,EXPANSION OF 400KGSM (MTNL) (NEW DELHI)(MAHANAGAR,Not Reported,MAHANAGAR                     227.42      01/2005               200.81 TELEPHONE NIGAM LIMITED,227.42,2005-01-01,200.81,2008-12-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
260100080,EXPANSION OF GSM 400 (MTNL) (MUMBAI)(MAHANAGAR,Not Reported,MAHANAGAR                        216.37      01/2005               110.96 TELEPHONE NIGAM LIMITED,216.37,2005-01-01,110.96,2008-12-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
260100086,GSM BASED NETWORK EXPANSION PH-IV,Not Reported,BHARAT SANCHAR NIGAM LIMITED,453.85,2005-06-01,262.13,2008-12-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
060100004,POOTKI BALIHARI(BCCL)(BHARAT COKING COAL LIMITED) -,Not Reported,,199.87,1994-03-01,175.06,2009-01-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
160100282,PARADIP-HALDIA CRUDE OIL PIPLINE (IOCL)(INDIAN OIL,Not Reported,"INDIAN OIL                  1,178.00      03/2006              1,271.42 CORPORATION LIMITED",1178.0,2006-03-01,1271.42,2009-01-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N16000012,DABHOL-PANVEL PIPELINE PROJECT(GAS AUTHORITY OF,Not Reported,"GAS AUTHORITY OF                     1,143.54      07/2007               914.79 INDIA LIMITED",1143.54,2007-07-01,914.79,2009-01-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N18000019,SYSTEM STRENGTHENING IN SOUTH-WESTERN PART OF,Not Reported,POWER GRID CORPORATION OF INDIA LIMITED,381.28,2009-04-01,283.87,2009-01-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
