project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk,risk_probability,predicted_cost_p10,predicted_cost_p50,predicted_cost_p90,predicted_delay_p10,predicted_delay_p50,predicted_delay_p90,model_confidence_percentage
,INSTALLATION OF BUS REACTORS AT CUDDAPAH NELLORE,Power,Not reported,2019,2019-10-31,251.6,192.74,-15.961255517259826,-23.394276629570744,7.433021112310918,660.0604931734579,152.0,508.06049317345787,1,1,0.29955590482103756,-57.46268082854089,-14.929972833998832,-4.52034396552855,-642.3881869812037,532.9542703064928,1447.1366962193688,83.33
,2 LANNING OF MOKAMA-MUNGER,Road Transport And Highways,Not reported,2013,2019-11-30,351.54,329.4,-36.12458692634981,-6.298003072196632,-29.826583854153174,329.66514532265376,2404.0,-2074.3348546773464,2,3,0.580055185461608,-72.44358477265894,-27.05732256020603,-3.9499767568919886,-410.25468743448323,365.8289903639088,893.093544135292,83.33
,DEVELOPMENT OF SIX LANE EASTERN PERIPHERAL EXPRESSWAY (,Pkg-Iii)                  (National Highways Authority Of,Not reported,2018,2019-11-30,785.78,839.0,-11.350230331843152,6.772888085723743,-18.123118417566893,437.09880399513116,639.0,-201.90119600486884,3,2,0.2639678782275998,-38.34304553145963,-8.946703593141235,33.95898690945657,-406.2054954681256,255.4735459313139,4091.359653461655,83.33
,CONSTRUCTION OF FLYOVER-UNDERPASS BETWEEN NORTHERN,Ibrahimpatnam Hyderabad                (Central Public,Not reported,2019,2019-12-31,188.0,146.45,-11.518842719682626,-22.10106382978724,10.582221110104614,928.8510673315998,213.0,715.8510673315998,2,1,0.46283039748885346,-51.089679344804296,-15.422726323252807,127.62831811659784,-368.7073238851189,274.4221553683488,3643.2139251301464,83.33
,CONSTRUCTION OF SOUTHERN REGIONAL CENTER FOR NSG AT,Urban Development,Not reported,2017,2019-12-31,157.84,167.23,-35.99454472564822,5.94906234161175,-41.94360706725997,575.4754770934775,1035.0,-459.5245229065225,1,3,0.32789688388843585,-28.20893444468917,-25.709387033717363,-19.439920693467187,113.89550091238422,195.74382287769032,1062.9705488416491,83.33
,JAIPUR-PANIPAT NAPTHA PIPELINE ALONG WITH AUGMENTATION OF,Petroleum,Not reported,2019,2019-12-31,890.0,609.29,-14.096597941415785,-31.540449438202252,17.443851496786465,502.1747898367848,91.0,411.1747898367848,1,1,0.3670277169007217,-28.61727474211908,-7.064151019703678,10.212134477428306,-338.30783599038426,347.9098202206605,1277.8864148169164,83.33
,CONSTRUCTION OF ONE ETP AND THREE ETPS CUM WATER,Petroleum,Not reported,2014,2020-01-31,202.94,193.03,-34.48022379901852,-4.883216714299792,-29.597007084718726,524.8989939781676,2221.0,-1696.1010060218323,0,3,0.3654585378609664,-59.641192322678904,-26.227438856837495,21.15726649612492,-206.3172488898183,264.6805204643132,1957.3612191328498,83.33
,UPGRADATION OF NATIONAL FIRE SERVICES COLLEGE AT NAGPUR,Urban Development,Not reported,2012,2020-02-29,205.0,166.12,-37.877546521230954,-18.965853658536584,-18.91169286269437,564.9807130220904,2921.0,-2356.0192869779094,3,3,0.33079056504729853,-31.02451824580624,-18.909100387421713,-14.602276587791355,42.14648418807144,220.5317021796213,1322.9217570380783,83.33
,REDEVELOPMENT/ EXPANSION OF MEERUT DEPOT FOR ENHANCING,Petroleum,Not reported,2019,2020-04-30,154.84,128.71,-24.60037407341529,-16.875484370963573,-7.724889702451716,616.0909400642435,181.0,435.09094006424345,0,1,0.3177328629112037,-46.51392133193329,-28.086729137940516,28.28582059677504,-123.38269613155563,244.472370667883,1775.763314208991,83.33
,CONSTRUCTION OF MEDICAL COLLEGE AND HOSPITAL AT,Urban Development,Not reported,2014,2020-07-31,768.88,1125.98,-25.51888698214413,46.44417854541671,-71.96306552756084,540.5787641651799,2372.0,-1831.42123583482,0,3,0.3877008200157506,-39.79760335222042,-18.172137355978055,-8.952797504363176,72.61163164978248,108.11841073080717,2705.8939667842615,83.33
,CONSTRUCTION OF PARAMEDICAL AND ALLIED HEALTH INSTITUTE,Gulbarga                          (Hindustan Steelwork,Not reported,2015,2020-07-31,324.87,270.24,-20.765733235443463,-16.815957152091602,-3.9497760833518605,903.5942129012226,1704.0,-800.4057870987774,2,3,0.5260467836358814,-63.32416540484654,-19.13546585302476,107.53669271462323,-467.5228669182454,278.46012127637096,3288.5870994585093,83.33
,CONSTRUCTION OF PERMANENT CAMPUS OF IISER KOLKATA AT,At Gulbarga                    (Hindustan Steelwork,Not reported,2016,2020-07-31,156.57,159.35,-10.926742229182304,1.775563645653702,-12.702305874836007,859.0157279668363,1460.0,-600.9842720331637,2,3,0.4073337402314123,-47.11186431619605,-14.043774058816146,123.48525886910174,-273.7942371455233,283.9804668992099,3792.099814775507,83.33
,NEELAM REDEVELOPMENT PLAN FOR EXPLOITATION OF BASSEIN,Petroleum,Not reported,2019,2020-07-31,2818.88,2907.03,-6.9394807370613325,3.1271285049381348,-10.066609241999467,554.6105843141054,518.0,36.61058431410538,2,2,0.41773824801812015,-26.53797424003975,-1.0812596478476024,13.906564098746395,-476.4936901804594,409.969241571705,1228.747920110202,83.33
,REHABILITATION AND UPGRADATION OF NH-4 FROM NALAGAMPALLI,Road Transport And Highways,Not reported,2020,2020-07-31,648.32,511.34,-37.89840083316467,-21.128455083909188,-16.769945749255484,244.9840747707795,152.0,92.9840747707795,2,1,0.40750058384453075,-52.886163973195046,-15.6630666266513,-4.759219447477722,-576.4085582143625,410.1558835433666,2299.639560909244,83.33
